Official Name,NORAD Number,Nation,Operator,Users,Application,Detailed Purpose,Orbit,Class of Orbit,Type of Orbit,Period (minutes),Mass (kg),COSPAR Number,Date of Launch,Expected Lifetime (yrs),Equipment,Describe
Starlink v1.0 L17-25 (Starlink 2160),47746,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-26 (Starlink 2161),47747,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-27 (Starlink 2162),47748,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-28 (Starlink 2163),47749,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-29 (Starlink 2164),47750,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-30 (Starlink 2168),47751,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-31 (Starlink 2169),47752,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-32 (Starlink 2170),47753,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-33 (Starlink 2171),47754,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-34 (Starlink 2172),47755,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-35 (Starlink 2174),47756,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-36 (Starlink 2175),47757,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-37 (Starlink 2176),47758,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-38 (Starlink 2177),47759,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-39 (Starlink 2178),47760,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-40 (Starlink 2179),47761,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-41 (Starlink 2180),47762,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-42 (Starlink 2181),47763,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-43 (Starlink 2182),47764,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-44 (Starlink 2183),47765,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-45 (Starlink 2184),47766,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-46 (Starlink 2185),47767,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-47 (Starlink 2189),47768,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-48 (Starlink 2192),47769,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-49 (Starlink 2193),47770,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-50 (Starlink 2194),47771,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-51 (Starlink 2195),47772,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-52 (Starlink 2196),47773,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-53 (Starlink 2197),47774,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-54 (Starlink 2198),47775,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-55 (Starlink 2209),47776,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-56 (Starlink 2210),47777,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-57 (Starlink 2211),47778,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-58 (Starlink 2212),47779,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-59 (Starlink 2213),47780,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L17-60 (Starlink 2223),47781,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-017,04.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-1 (Starlink 2257),47787,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-2 (Starlink 2314),47788,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-3 (Starlink 2315),47789,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-4 (Starlink 2319),47790,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-5 (Starlink 2322),47791,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-6 (Starlink 2334),47792,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-7 (Starlink 2338),47793,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-8 (Starlink 2341),47794,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-9 (Starlink 2347),47795,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-10 (Starlink 2373),47796,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-11 (Starlink 2377),47797,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-12 (Starlink 2379),47798,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-13 (Starlink 2380),47799,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-14 (Starlink 2381),47800,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-15 (Starlink 2382),47801,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-16 (Starlink 2383),47802,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-17 (Starlink 2384),47803,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-18 (Starlink 2385),47804,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-19 (Starlink 2386),47805,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-20 (Starlink 2387),47806,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-21 (Starlink 2388),47807,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-22 (Starlink 2389),47808,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-23 (Starlink 2390),47809,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-24 (Starlink 2391),47810,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-25 (Starlink 2392),47811,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-26 (Starlink 2393),47812,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-27 (Starlink 2394),47813,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-28 (Starlink 2395),47814,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-29 (Starlink 2396),47815,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-30 (Starlink 2399),47816,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-31 (Starlink 2400),47817,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-32 (Starlink 2401),47818,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-33 (Starlink 2402),47819,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-34 (Starlink 2403),47820,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-35 (Starlink 2406),47821,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-36 (Starlink 2407),47822,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-37 (Starlink 2408),47823,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-38 (Starlink 2409),47824,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-39 (Starlink 2410),47825,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-40 (Starlink 2411),47826,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-41 (Starlink 2413),47827,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-42 (Starlink 2415),47828,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-43 (Starlink 2416),47829,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-44 (Starlink 2419),47830,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-45 (Starlink 2420),47831,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-46 (Starlink 2422),47832,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-47 (Starlink 2423),47833,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-48 (Starlink 2424),47834,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-49 (Starlink 2425),47835,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-50 (Starlink 2426),47836,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-51 (Starlink 2427),47837,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-52 (Starlink 2429),47838,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-53 (Starlink 2431),47839,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-54 (Starlink 2432),47840,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-55 (Starlink 2433),47841,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-56 (Starlink 2434),47842,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-57 (Starlink 2435),47843,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-58 (Starlink 2446),47844,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-59 (Starlink 2453),47845,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L20-60 (Starlink 2456),47846,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-018,11.03.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
