Official Name,NORAD Number,Nation,Operator,Users,Application,Detailed Purpose,Orbit,Class of Orbit,Type of Orbit,Period (minutes),Mass (kg),International Designator,Date of Launch,Expected Lifetime (yrs),Equipment,Describe
Starlink v1.0 L24-33 (Starlink 2532),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-34 (Starlink 2517),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-35 (Starlink 2536),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-36 (Starlink 2534),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-37 (Starlink 2061),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-38 (Starlink 2541),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-39 (Starlink 2549),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-40 (Starlink 2506),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-41 (Starlink 2507),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-42 (Starlink 2513),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-43 (Starlink 2509),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-44 (Starlink 2512),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-45 (Starlink 2029),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-46 (Starlink 2457),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-47 (Starlink 2477),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-48 (Starlink 2515),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-49 (Starlink 2527),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-50 (Starlink 2495),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-51 (Starlink 2498),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-52 (Starlink 2502),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-53 (Starlink 2504),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-54 (Starlink 2510),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-55 (Starlink 2501),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-56 (Starlink 2514),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-57 (Starlink 2511),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-58 (Starlink 2518),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-59 (Starlink 2470),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L24-60 (Starlink 2441),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-036,29.04.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Yaogan 34,,China,,,Earth observation,,"1083 km × 1105 km, 63.38°",,,,,2021-037,30.04.2021,,,"The Chinese Yaogan 34 (Remote Sensing Satellite-34) is the first of a series of government optical remote sensing satellites, likely also used as a military reconnaissance satellites."
Starlink v1.0 L25-1 (Starlink 2613),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-2 (Starlink 2674),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-3 (Starlink 2635),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-4 (Starlink 2637),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-5 (Starlink 2636),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-6 (Starlink 2624),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-7 (Starlink 2628),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-8 (Starlink 2622),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-9 (Starlink 2591),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-10 (Starlink 2578),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-11 (Starlink 2626),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-12 (Starlink 2611),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-13 (Starlink 2608),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-14 (Starlink 2631),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-15 (Starlink 2643),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-16 (Starlink 2623),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-17 (Starlink 2641),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-18 (Starlink 2621),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-19 (Starlink 2589),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-20 (Starlink 2572),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-21 (Starlink 2609),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-22 (Starlink 2604),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-23 (Starlink 2603),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-24 (Starlink 2610),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-25 (Starlink 2499),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-26 (Starlink 2526),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-27 (Starlink 2612),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-28 (Starlink 2614),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-29 (Starlink 2630),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-30 (Starlink 2585),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-31 (Starlink 2599),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-32 (Starlink 2601),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-33 (Starlink 2598),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-34 (Starlink 2606),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-35 (Starlink 2600),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-36 (Starlink 2594),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-37 (Starlink 1904),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-38 (Starlink 2586),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-39 (Starlink 2607),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-40 (Starlink 2605),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-41 (Starlink 2602),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-42 (Starlink 2573),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-43 (Starlink 2574),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-44 (Starlink 2575),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-45 (Starlink 2590),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-46 (Starlink 2588),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-47 (Starlink 2587),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-48 (Starlink 2576),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-49 (Starlink 2571),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-50 (Starlink 2560),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-51 (Starlink 2561),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-52 (Starlink 2593),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-53 (Starlink 2570),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-54 (Starlink 2568),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-55 (Starlink 2595),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-56 (Starlink 2592),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-57 (Starlink 2596),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-58 (Starlink 2563),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-59 (Starlink 2505),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L25-60 (Starlink 2581),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-038,04.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Yaogan 30-08-01 (CX 5-22),,China,,,SIGINT ?,,"592 km × 601 km, 35.00°",,,,,2021-039,06.05.2021,,,"The Yaogan 30-01-01 to 30-01-03 (Remote Sensing Satellite-30-01-01 to 30-01-03) satellites, were launched by CZ-2C (3) rocket from China's Xichang space center on 29 September 2017. The purpose is not confirmed, although the news reports hint towards a SIGINT mission, especially to detect ships by their radio emissions. They are also known as CX 5 by the manufacturer."
Yaogan 30-08-02 (CX 5-23),,China,,,SIGINT ?,,"592 km × 601 km, 35.00°",,,,,2021-039,06.05.2021,,,"The Yaogan 30-01-01 to 30-01-03 (Remote Sensing Satellite-30-01-01 to 30-01-03) satellites, were launched by CZ-2C (3) rocket from China's Xichang space center on 29 September 2017. The purpose is not confirmed, although the news reports hint towards a SIGINT mission, especially to detect ships by their radio emissions. They are also known as CX 5 by the manufacturer."
Yaogan 30-08-03 (CX 5-24),,China,,,SIGINT ?,,"592 km × 601 km, 35.00°",,,,,2021-039,06.05.2021,,,"The Yaogan 30-01-01 to 30-01-03 (Remote Sensing Satellite-30-01-01 to 30-01-03) satellites, were launched by CZ-2C (3) rocket from China's Xichang space center on 29 September 2017. The purpose is not confirmed, although the news reports hint towards a SIGINT mission, especially to detect ships by their radio emissions. They are also known as CX 5 by the manufacturer."
Tianqi 12,,China,Guodian Gaoke,,Communication M2M/IoT,,,,,,~50 kg,2021-039,06.05.2021,,,"Tianqi (also transcribed Tiange) is a series of small Chinese experimental LEO comsats by Guodian Gaoke for IoT (Internet of Things) communications, which are also carrying a camera for educational purposes."
Starlink v1.0 L27-1 (Starlink 2461),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-040,09.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L27-2 (Starlink 2749),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-040,09.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
Starlink v1.0 L27-3 (Starlink 2729),,USA,SpaceX,,Communication,,"550 km × 550 km, 53° (typical)",,,,~260 kg,2021-040,09.05.2021,,"Ku/Ka-band payload, optical inter-satellite link",Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.
