Application,Class of Orbit,Date of Launch,Describe,Detailed Purpose,Equipment,Expected Lifetime (yrs),International Designator,Mass (kg),NORAD Number,Nation,Official Name,Operator,Orbit,Period (minutes),Type of Orbit,Users,_id
Communication,,09.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-040,~260 kg,,USA,Starlink v1.0 L27-47 (Starlink 2697),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800e91
Communication,,09.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-040,~260 kg,,USA,Starlink v1.0 L27-48 (Starlink 2619),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800e92
Communication,,09.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-040,~260 kg,,USA,Starlink v1.0 L27-49 (Starlink 2723),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800e93
Communication,,09.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-040,~260 kg,,USA,Starlink v1.0 L27-50 (Starlink 2638),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800e94
Communication,,09.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-040,~260 kg,,USA,Starlink v1.0 L27-51 (Starlink 2728),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800e95
Communication,,09.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-040,~260 kg,,USA,Starlink v1.0 L27-52 (Starlink 2755),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800e96
Communication,,09.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-040,~260 kg,,USA,Starlink v1.0 L27-53 (Starlink 2690),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800e97
Communication,,09.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-040,~260 kg,,USA,Starlink v1.0 L27-54 (Starlink 2706),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800e98
Communication,,09.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-040,~260 kg,,USA,Starlink v1.0 L27-55 (Starlink 2525),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800e99
Communication,,09.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-040,~260 kg,,USA,Starlink v1.0 L27-56 (Starlink 2531),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800e9a
Communication,,09.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-040,~260 kg,,USA,Starlink v1.0 L27-57 (Starlink 2696),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800e9b
Communication,,09.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-040,~260 kg,,USA,Starlink v1.0 L27-58 (Starlink 2500),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800e9c
Communication,,09.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-040,~260 kg,,USA,Starlink v1.0 L27-59 (Starlink 2496),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800e9d
Communication,,09.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-040,~260 kg,,USA,Starlink v1.0 L27-60 (Starlink 2494),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800e9e
Earth Observation,,15.05.2021,The BlackSky constellation of 1 m resolution earth observation microsatellites will be deployed by BlackSky Global.,,SpaceView-24 imager,3 years,2021-F02,56 kg,,USA,BlackSky 8 (BlackSky Global w1),BlackSky Global,"478 km � 499 km, 97.48� (#1); 577 km � 591 km, 97.77� (#2)",,,,60e5620d98df02cf35800e9f
Earth Observation,,15.05.2021,The BlackSky constellation of 1 m resolution earth observation microsatellites will be deployed by BlackSky Global.,,SpaceView-24 imager,3 years,2021-F02,56 kg,,USA,BlackSky 9 (BlackSky Global w2),BlackSky Global,"478 km � 499 km, 97.48� (#1); 577 km � 591 km, 97.77� (#2)",,,,60e5620d98df02cf35800ea0
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-1 (Starlink 2063),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ea1
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-2 (Starlink 2139),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ea2
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-3 (Starlink 2145),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ea3
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-4 (Starlink 2151),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ea4
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-5 (Starlink 2155),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ea5
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-6 (Starlink 2166),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ea6
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-7 (Starlink 2167),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ea7
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-8 (Starlink 2173),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ea8
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-9 (Starlink 2186),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ea9
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-10 (Starlink 2187),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eaa
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-11 (Starlink 2188),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eab
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-12 (Starlink 2190),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eac
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-13 (Starlink 2191),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ead
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-14 (Starlink 2214),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eae
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-15 (Starlink 2215),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eaf
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-16 (Starlink 2217),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eb0
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-17 (Starlink 2219),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eb1
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-18 (Starlink 2220),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eb2
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-19 (Starlink 2221),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eb3
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-20 (Starlink 2222),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eb4
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-21 (Starlink 2224),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eb5
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-22 (Starlink 2225),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eb6
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-23 (Starlink 2227),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eb7
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-24 (Starlink 2228),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eb8
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-25 (Starlink 2231),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eb9
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-26 (Starlink 2232),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eba
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-27 (Starlink 2233),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ebb
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-28 (Starlink 2334),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ebc
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-29 (Starlink 2335),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ebd
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-30 (Starlink 2336),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ebe
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-31 (Starlink 2337),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ebf
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-32 (Starlink 2338),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ec0
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-33 (Starlink 2240),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ec1
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-34 (Starlink 2241),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ec2
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-35 (Starlink 2242),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ec3
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-36 (Starlink 2244),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ec4
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-37 (Starlink 2245),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ec5
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-38 (Starlink 2246),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ec6
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-39 (Starlink 2248),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ec7
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-40 (Starlink 2249),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ec8
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-41 (Starlink 2250),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ec9
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-42 (Starlink 2251),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800eca
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-43 (Starlink 2252),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ecb
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-44 (Starlink 2253),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ecc
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-45 (Starlink 2255),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ecd
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-46 (Starlink 2256),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ece
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-47 (Starlink 2274),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ecf
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-48 (Starlink 2275),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ed0
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-49 (Starlink 2276),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ed1
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-50 (Starlink 2713),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ed2
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-51 (Starlink 2714),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ed3
Communication,,15.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-041,~260 kg,,USA,Starlink v1.0 L26-52 (Starlink 2757),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ed4
"Earth observation, radar",,15.05.2021,Capella Space of California is developing the Capella Synthetic Aperture Radar (SAR) satellites. They are planned to operate in a 30 satellite constellation.,,X-band SAR,,2021-041,112 kg,,USA,Capella 6 (Capella Whitney 4),Capella Space,,,,,60e5620d98df02cf35800ed5
Technology,,15.05.2021,Tyvak 0130 is an optical spectrum astronomical observation satellite built by Tyvak on the CubeSat (6U) form factor.,,,,2021-041,11 kg,,USA,Tyvak 0130,Tyvak,,,,,60e5620d98df02cf35800ed6
Early Warning,,18.05.2021,"SBIRS-GEO (Space Based Infra Red Sensor - Geostationary) is the geostationary component of the SBIRS-High program, which will replace the DSP system of early warning satellites in providing early warning for Intercontinental Ballistic Missile launches.",,2 SBIRS sensors (scanning and staring),12 years,2021-042,~ 4500 kg,,USA,SBIRS-GEO 5,US Air Force (USAF) ? US Space Force (USSF),GEO,,,,60e5620d98df02cf35800ed7
Calibration,,18.05.2021,TDO (Technology Demonstration Orbiter) is a series of USAF SMC missions to test technologies on orbit. It is a 12U CubeSat.,,?,,2021-042,,,USA,TDO 3 (EZ 3),US Air Force (USAF) SMC,"208 km � 35264 km, 26.17� (#1); 200 km � 35459 km, 26.50� (#2)",,,,60e5620d98df02cf35800ed8
Calibration,,18.05.2021,TDO (Technology Demonstration Orbiter) is a series of USAF SMC missions to test technologies on orbit. It is a 12U CubeSat.,,?,,2021-042,,,USA,TDO 4 (EZ 4),US Air Force (USAF) SMC,"208 km � 35264 km, 26.17� (#1); 200 km � 35459 km, 26.50� (#2)",,,,60e5620d98df02cf35800ed9
Oceanography,,19.05.2021,HY 2 (Haiyang = Ocean) is a chinese series of Earth observation satellites focused on the marine dynamic environment.,,"dual-frequency altimeter (Ku and C-bands), microwave imager",,2021-043,1575 kg (#2C),,China,HY 2D,CAST,,,,,60e5620d98df02cf35800eda
Communication,,26.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-044,~260 kg,,USA,Starlink v1.0 L28-1 (Starlink 2758),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800edb
Communication,,26.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-044,~260 kg,,USA,Starlink v1.0 L28-2 (Starlink 2739),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800edc
Communication,,26.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-044,~260 kg,,USA,Starlink v1.0 L28-3 (Starlink 2736),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800edd
Communication,,26.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-044,~260 kg,,USA,Starlink v1.0 L28-4 (Starlink 2754),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ede
Communication,,26.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-044,~260 kg,,USA,Starlink v1.0 L28-5 (Starlink 2646),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800edf
Communication,,26.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-044,~260 kg,,USA,Starlink v1.0 L28-6 (Starlink 2704),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ee0
Communication,,26.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-044,~260 kg,,USA,Starlink v1.0 L28-7 (Starlink 2695),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ee1
Communication,,26.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-044,~260 kg,,USA,Starlink v1.0 L28-8 (Starlink 2733),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ee2
Communication,,26.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-044,~260 kg,,USA,Starlink v1.0 L28-9 (Starlink 2732),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ee3
Communication,,26.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-044,~260 kg,,USA,Starlink v1.0 L28-10 (Starlink 2691),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ee4
Communication,,26.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-044,~260 kg,,USA,Starlink v1.0 L28-11 (Starlink 2521),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ee5
Communication,,26.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-044,~260 kg,,USA,Starlink v1.0 L28-12 (Starlink 2673),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ee6
Communication,,26.05.2021,"Starlink is SpaceX's 12.000-satellite low earth orbit constellation to provide broadband Internet access.",,"Ku/Ka-band payload, optical inter-satellite link",,2021-044,~260 kg,,USA,Starlink v1.0 L28-13 (Starlink 2672),SpaceX,"550 km � 550 km, 53� (typical)",,,,60e5620d98df02cf35800ee7
